Flag,Vessel_type,Vessel_name,Vessel_id,Callsign,Flag_registration_num,Weight_gross,Length,Start_date,End_date
Cambodia,Fish Carrier,RUI HANG,35787,XUFX9,1183586,2970,98.75,6-Oct-11,5-Oct-12
Cambodia,Fish Carrier,FOR SHINE 168,35982,XUNQ7,989279,1486,71.82,30-Sep-11,29-Sep-12
Cambodia,Fish Carrier,HAI SHUN 158,36152,XUCF6,1090699,1596,80.26,11-Jun-11,10-Jun-12
Cambodia,Fish Carrier,KAI TAI NO.188,36153,XUPA8,683499,991,59.25,14-Apr-11,13-Apr-12
China,Longline,TAI KUN,1354,BZZO,YG020J010020.08,574,50.1,26-May-11,25-May-12
China,Single Purse Seine,JIN HUI 2,21535,BZVL,D60800166,995,64.7,5-Jul-11,4-Jul-12
China,Single Purse Seine,JIN HUI 3,22764,BIYA,D60800167,995,64.7,5-Jul-11,4-Jul-12
China,Single Purse Seine,JIN HUI 1,23382,BZVK,D60800165,995,64.7,13-Jul-11,12-Jul-12
China,Single Purse Seine,XIN SHI JI NO.101,26369,BZ4UB,Z07100739,996,65.7,14-Jul-11,13-Jul-12
China,Single Purse Seine,XIN SHI JI NO.102,26765,BZ5UB,Z07100740,996,65.7,18-Jul-11,17-Jul-12
China,Single Purse Seine,ZHONG TAI 1,27318,BZZW4,13-000095,1087,66.23,4-Jul-11,3-Jul-12
China,Single Purse Seine,JIN HUI 6,28613,BIWX,D60800168,1198,62.82,5-Jul-11,4-Jul-12
China,Longline,SHEN GANG FA NO.1,32166,BZXD4,YUE 2008 NO.YD00024,576,53.3,14-Jul-11,13-Jul-12
China,Fish Carrier,TAI NING,32502,BBQR,50002000032,3260,92.23,1-Jul-11,30-Jun-12
China,Longline,YUE YUAN YU 169,32616,BZXL6,YQ000024,125,31,1-Jul-11,30-Jun-12
China,Longline,YUE YUAN YU 168,32617,BZXL5,YUE2004NO.YD000023,125,31,1-Jul-11,30-Jun-12
China,Single Purse Seine,JIN HUI 7,32774,BIWT,D60800162,1769,79.77,5-Jul-11,4-Jul-12
China,Single Purse Seine,TAI FU 102,32775,BZSO8,YG020J020027.11,1348,64.93,11-Jul-11,10-Jul-12
China,Longline,SHEN LIAN CHENG 702,33005,BZXC5,YQ000006,112,28.7,17-Aug-11,16-Aug-12
China,Longline,SHEN LIAN CHENG 730,33188,BZXC19,YQ000001,91,24.5,4-Jul-11,3-Jul-12
China,Longline,SHEN LIAN CHENG 731,33189,BZXC21,YQ000002,91,24.5,1-Jul-11,30-Jun-12
China,Longline,SHEN LIAN CHENG 732,33190,BZXC22,YQ000003,91,24.5,5-Jul-11,4-Jul-12
China,Longline,LONG XING 601,33395,BZST,11081,486,53.5,19-Apr-11,18-Apr-12
China,Longline,JIN SHENG NO.3,33522,BZZY7,13-000148,602,56.17,1-Jul-11,30-Jun-12
China,Fish Carrier,MING FA,33709,BKUI,70010000002,2028,83.75,28-Feb-11,27-Feb-12
China,Longline,SHEN LIAN CHENG 737,33773,BZXC26,YD000007,100,26.5,27-Jul-11,26-Jul-12
China,Longline,SHEN LIAN CHENG 738,33774,BZXC27,YD00008,100,26.5,27-Jul-11,26-Jul-12
China,Longline,SHEN LIAN CHENG 739,33775,BZXC28,YQ000009,100,26.5,9-Aug-11,8-Aug-12
China,Fish Carrier,HAI YU,33935,BANV,30002000635,2340,86.33,1-Jul-11,30-Jun-12
China,Longline,ZHONG SHUI 601,34027,BYLQ6,YUE2005NO.YD000024,119,22.85,1-Jul-11,30-Jun-12
China,Longline,ZHONG SHUI 603,34028,BYLQ7,YUE2005NO.YD000026,119,22.85,1-Jul-11,30-Jun-12
China,Longline,ZHONG SHUI 604,34029,BYLQ8,YUE2005NO.YD000027,119,22.85,7-Sep-11,6-Sep-12
China,Longline,ZHONG SHUI 610,34030,BYZB10,YUE000106,98,22.88,1-Jul-11,30-Jun-12
China,Longline,XIN SHI JI 12,34081,BZUS9,Z07-010259,628,52.4,19-Jul-11,18-Jul-12
China,Fish Carrier,TAI YU,34089,BAIL,30002000107,1912,84.33,18-Nov-11,17-Nov-12
China,Fish Carrier,TAI XIANG,34136,BAPI,30002000561,1950,84.02,18-Nov-11,17-Nov-12
China,Longline,SHEN LIAN CHENG 733,34240,BZXC23,YD00004,84,24.5,27-Jul-11,26-Jul-12
China,Longline,SHEN LIAN CHENG 735,34242,BZXC24,YQ000005,107,26.5,2-Aug-11,1-Aug-12
China,Longline,SHEN LIAN CHENG 736,34243,BZXC25,YQ000006,107,26.5,8-Jul-11,7-Jul-12
China,Single Purse Seine,ZHONG TAI 2,34397,BZZW9,13-000138,2109,79.8,1-Jul-11,30-Jun-12
China,Longline,SHEN LIAN CHENG 807,34628,BZXC29,YUE 2006 NO.YD000010,123,26.5,4-Jul-11,3-Jul-12
China,Longline,SHEN LIAN CHENG 808,34629,BZXD2,YUE 2006 NO YD000011,123,26.5,4-Jul-11,3-Jul-12
China,Longline,LONG XING 603,34646,BZST6,10474,395,52.12,11-Aug-11,10-Aug-12
China,Longline,TAI JIANG,34671,BZZO3,YG020J010115Â·08,460,48.88,19-Apr-11,18-Apr-12
China,Longline,ZHONG SHUI 605,34724,BYLQ9,YUE2005NO.YD000028,119,22.85,1-Jul-11,30-Jun-12
China,Longline,ZHONG SHUI 608,34725,BYMQ4,YUE2005NO.YD000031,119,22.85,1-Jul-11,30-Jun-12
China,Longline,ZHONG SHUI 608,34725,BYMQ4,YUE2005NO.YD000031,119,22.85,1-Jul-12,17-Oct-12
China,Single Purse Seine,ZHONG TAI 3,34810,BZZY8,13-000150,1284,70.59,1-Jul-11,30-Jun-12
China,Fish Carrier,KAI YUAN,34823,BIUA,D60800161,2340,86.33,2-Aug-11,1-Aug-12
China,Longline,ZHONG SHUI 609,34853,BYZB9,YUE000105,98,22.88,1-Jul-11,30-Jun-12
China,Longline,ZHONG SHUI 611,34854,BYZB11,YUE000107,98,22.88,1-Jul-11,30-Jun-12
China,Longline,JIN SHENG 8,34860,BZSX5,(2011)FT200040,647,57.38,14-Dec-11,13-Dec-12
China,Longline,LU RONG YU 2222,34864,BBFA3,YQ0201020120,120,27.86,16-Aug-11,15-Aug-12
