"CCSBT Registration Number","Vessel Group","Vessel Name","Flag","Authorising Entity","Callsign","Vessel Registration Number","IMO","Tonnage","Vessel Type","Gear Type","Authorisation From","Authorisation To"
"CV05450","Carrier","CHEN YU 7","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BZLY","CT8-0046","7930175","1 872.0","Longliners","Not Applicable","01/04/2016","31/03/2017"
"CV05863","Carrier","CHIKUMA","Vanuatu","Korea, Republic of","YJTE5","2195","9666493","6 558.0","Multipurpose vessels","Not Applicable","10/03/2013","31/07/2017"
"CV05863","Carrier","CHIKUMA","Liberia","Japan","D5JI4","17108","9666493","6 558.0","Multipurpose vessels","Not Applicable","08/10/2015","31/07/2017"
"CV05863","Carrier","CHIKUMA","Liberia","Taiwan, Fishing Entity of","D5JI4","17108","9666493","6 558.0","Longliners","Not Applicable","01/04/2016","31/03/2017"
"CV05989","Carrier","CHITOSE","Singapore","Korea, Republic of","9V6110","398506","9666508","6 534.0","Multipurpose vessels","Not Applicable","01/01/2014","31/07/2017"
"CV05989","Carrier","CHITOSE","Singapore","Japan","9V6110","389506","9666508","6 534.0","Multipurpose vessels","Not Applicable","01/09/2013","31/07/2017"
"CV05989","Carrier","CHITOSE","Singapore","Taiwan, Fishing Entity of","9V6110","389506","9666508","6 354.0","Longliners","Not Applicable","01/04/2016","31/03/2017"
"CV04761","Carrier","FAUTAGAMI","Liberia","Taiwan, Fishing Entity of","D5KG4","17301","9105293","2 581.0","Longliners","Not Applicable","01/04/2016","31/03/2017"
"CV06335","Carrier","FULL KUO SHIN","Kiribati","Taiwan, Fishing Entity of","T3XH","K-13851050","8604967","2 525.0","Longliners","Not Applicable","01/04/2016","31/03/2017"
"CV04761","Carrier","FUTAGAMI","Vanuatu","Korea, Republic of","YJQJ8","1963","9105293","2 581.0","Multipurpose vessels","Not Applicable","01/08/2012","31/07/2017"
"CV04761","Carrier","FUTAGAMI","Liberia","Japan","D5KG4","17301","9105293","2 581.0","Unknown","Not Applicable","25/02/2016","31/07/2017"
"CV05639","Carrier","GENTA MARU","Liberia","Japan","D5JO9","17162","9620384","3 989.0","Unknown","Not Applicable","04/11/2015","31/07/2017"
"CV05639","Carrier","GENTA MARU","Liberia","Korea, Republic of","D5JO9","730-15-NYC","9620384","3 989.0","Multipurpose vessels","Not Applicable","16/12/2015","31/07/2017"
"CV05639","Carrier","GENTA MARU","Liberia","Taiwan, Fishing Entity of","D5JO9","17162","9620384","3 989.0","Longliners","Not Applicable","01/04/2016","31/03/2017"
"CV06277","Carrier","GOUTA MARU","Japan","Japan","7JUZ","142469","9746827","4 865.0","Unknown","Not Applicable","05/11/2015","31/07/2017"
"CV04745","Carrier","HARIMA 2","Vanuatu","Japan","YJTB3","2170","9133317","4 490.0","Multipurpose vessels","Not Applicable","30/08/2012","30/07/2017"
"CV04745","Carrier","HARIMA 2","Vanuatu","Korea, Republic of","YJTB3","2170","9133317","4 490.0","Multipurpose vessels","Not Applicable","24/08/2012","30/07/2017"
"CV04744","Carrier","HARU","Vanuatu","Japan","YJSU3","2166","9241932","4 521.0","Unknown","Not Applicable","20/11/2014","31/07/2017"
"CV04744","Carrier","HARU","Vanuatu","Korea, Republic of","YJSU3","2166","9241932","4 521.0","Multipurpose vessels","Not Applicable","24/08/2012","31/07/2017"
"CV04746","Carrier","HIKARI 1","Panama","Taiwan, Fishing Entity of","3EFB3","34316-PEXT-1","9293313","4 521.0","Longliners","Not Applicable","01/04/2016","31/03/2017"
"CV04759","Carrier","HOUTA MARU","Vanuatu","Japan","YJQD7","1904","9003158","3 519.0","Unknown","Not Applicable","01/08/2012","31/07/2017"
"CV04759","Carrier","HOUTA MARU","Vanuatu","Korea, Republic of","YJQD7","1904","9003158","3 519.0","Multipurpose vessels","Not Applicable","24/08/2012","31/07/2017"
"CV05862","Carrier","IBUKI","Panama","Japan","3ELC8","46403-14","9666481","6 558.0","Multipurpose vessels","Not Applicable","11/12/2014","31/07/2017"
"CV05862","Carrier","IBUKI","Panama","Korea, Republic of","3ELC8","46678-TJ","9666481","6 558.0","Multipurpose vessels","Not Applicable","17/01/2013","31/07/2017"
"CV05862","Carrier","IBUKI","Panama","Taiwan, Fishing Entity of","3ELC8","46678-TJ","9666481","6 558.0","Longliners","Not Applicable","01/04/2016","31/03/2017"
"CV04735","Carrier","KAIHO MARU","Seychelles","Taiwan, Fishing Entity of","S7OJ","50262","8909680","2 600.0","Longliners","Not Applicable","01/04/2016","31/03/2017"
"CV04758","Carrier","KURIKOMA","Panama","Taiwan, Fishing Entity of","3FTS6","25668-TJ(IOTC-008462)","9145920","4 150.0","Longliners","Not Applicable","01/04/2016","31/03/2017"
"CV04758","Carrier","KURIKOMA","Panama","Japan","3FTS6","23486-97-D","9145920","4 177.0","Unknown","Not Applicable","01/08/2012","31/07/2017"
"CV04758","Carrier","KURIKOMA","Panama","Korea, Republic of","3FTS6","23486-97-D","9145920","4 177.0","Multipurpose vessels","Not Applicable","24/08/2012","31/07/2017"
"CV04743","Carrier","LADY TUNA","Panama","Japan","3EQX2","47255-15","9453418","4 538.0","Unknown","Not Applicable","08/10/2015","31/07/2017"
"CV04743","Carrier","LADY TUNA","Panama","Taiwan, Fishing Entity of","3EQX2","47255-15","9453418","4 538.0","Longliners","Not Applicable","01/04/2016","31/03/2017"
"CV04743","Carrier","LADY TUNA","Panama","Korea, Republic of","3EQX2","47255-15","9453418","4 538.0","Unknown","Not Applicable","27/10/2015","31/07/2017"
"CV04732","Carrier","LIAN JYI HSING","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BI2037","CT7-0037","7234210","995.0","Longliners","Not Applicable","01/04/2016","31/03/2017"
"CV04757","Carrier","MEITA MARU","Liberia","Taiwan, Fishing Entity of","D5JO8","17161","9071583","3 802.0","Longliners","Not Applicable","01/04/2016","31/03/2017"
"CV04757","Carrier","MEITA MARU","Liberia","Japan","D5JO8","17161","9071583","3 802.0","Unknown","Not Applicable","29/09/2015","31/07/2017"
"CV04757","Carrier","MEITA MARU","Liberia","Korea, Republic of","D5JO8","729-15-NYC","9071583","3 802.0","Unknown","Not Applicable","27/10/2015","31/07/2017"
"CV04742","Carrier","RYOMA","Vanuatu","Taiwan, Fishing Entity of","YJTA9","2169","9133305","5 733.9","Longliners","Not Applicable","01/04/2016","31/03/2017"
"CV04755","Carrier","RYUTA MARU","Panama","Taiwan, Fishing Entity of","3FSG7","26487-PEXT-1(IOTC-008463)","9140102","2 716.0","Longliners","Not Applicable","01/04/2016","31/03/2017"
"CV05816","Carrier","SEI SHIN","Korea, Republic of","Taiwan, Fishing Entity of","DSOP5","JJR-068905","8808161","2 267.3","Longliners","Not Applicable","01/04/2016","31/03/2017"
